index,station_id,Fail,Pass,Reject,Total,Fail_ratio,Pass_ratio,Rej_ratio
206,1176.0,98.0,1211.0,84.0,1393.0,0.07035175879396985,0.8693467336683417,0.06030150753768844
207,1180.0,155.0,5931.0,501.0,6587.0,0.023531197813875818,0.9004098982844998,0.07605890390162441
208,1181.0,50.0,1228.0,88.0,1366.0,0.036603221083455345,0.8989751098096632,0.06442166910688141
209,1183.0,203.0,5290.0,241.0,5734.0,0.03540286013254273,0.9225671433554238,0.042029996512033485
210,1185.0,124.0,1973.0,132.0,2229.0,0.05563032750112158,0.8851502916105877,0.059219380888290714
211,1186.0,288.0,3222.0,255.0,3765.0,0.07649402390438247,0.8557768924302789,0.06772908366533864
212,1187.0,664.0,13385.0,779.0,14828.0,0.044780145670353384,0.9026841111410845,0.05253574318856218
213,1189.0,150.0,875.0,46.0,1071.0,0.1400560224089636,0.8169934640522876,0.04295051353874883
214,1190.0,72.0,2724.0,207.0,3003.0,0.023976023976023976,0.9070929070929071,0.06893106893106893
215,1192.0,342.0,5541.0,276.0,6159.0,0.05552849488553337,0.8996590355577204,0.044812469556746226
216,1195.0,439.0,11105.0,500.0,12044.0,0.03644968449020259,0.9220358684822318,0.04151444702756559
217,1197.0,36.0,2038.0,91.0,2165.0,0.016628175519630486,0.9413394919168592,0.04203233256351039
218,1198.0,76.0,1033.0,61.0,1170.0,0.06495726495726496,0.8829059829059829,0.05213675213675214
219,1199.0,68.0,1221.0,53.0,1342.0,0.05067064083457526,0.9098360655737705,0.039493293591654245
220,1202.0,626.0,17608.0,949.0,19183.0,0.032633060522337484,0.9178960537976333,0.04947088568002919
221,1205.0,31.0,457.0,9.0,497.0,0.06237424547283702,0.9195171026156942,0.018108651911468814
222,1206.0,1147.0,17616.0,1513.0,20276.0,0.05656934306569343,0.8688104162556717,0.07462024067863483
223,1208.0,79.0,1735.0,74.0,1888.0,0.04184322033898305,0.9189618644067796,0.03919491525423729
224,1210.0,82.0,2863.0,176.0,3121.0,0.026273630246715796,0.9173341877603333,0.05639218199295098
225,1214.0,638.0,13157.0,530.0,14325.0,0.044537521815008724,0.9184642233856893,0.03699825479930192
226,1215.0,376.0,5718.0,350.0,6444.0,0.05834885164494103,0.8873370577281192,0.05431409062693979
227,1216.0,132.0,3262.0,114.0,3508.0,0.037628278221208664,0.9298745724059293,0.03249714937286203
228,1217.0,13.0,218.0,23.0,254.0,0.051181102362204724,0.8582677165354331,0.09055118110236221
229,1220.0,82.0,1018.0,32.0,1132.0,0.07243816254416961,0.8992932862190812,0.028268551236749116
230,1221.0,21.0,531.0,19.0,571.0,0.03677758318739054,0.9299474605954466,0.03327495621716287
231,1224.0,191.0,3378.0,225.0,3794.0,0.05034264628360569,0.8903531892461781,0.05930416447021613
232,1225.0,93.0,1528.0,88.0,1709.0,0.05441778818022235,0.8940901111761264,0.051492100643651256
233,1227.0,28.0,544.0,22.0,594.0,0.04713804713804714,0.9158249158249159,0.037037037037037035
234,1230.0,64.0,800.0,45.0,909.0,0.0704070407040704,0.8800880088008801,0.04950495049504951
235,1231.0,433.0,5134.0,382.0,5949.0,0.0727853420742982,0.863002185241217,0.06421247268448478
236,1233.0,382.0,6402.0,393.0,7177.0,0.053225581719381354,0.8920161627420928,0.05475825553852585
237,1237.0,128.0,2318.0,166.0,2612.0,0.04900459418070444,0.8874425727411945,0.06355283307810107
238,1238.0,36.0,1706.0,45.0,1787.0,0.020145495243424735,0.9546726357022943,0.02518186905428092
239,1240.0,46.0,4319.0,148.0,4513.0,0.010192776423664968,0.9570130733436738,0.032794150232661204
240,1244.0,724.0,16510.0,665.0,17899.0,0.04044918710542488,0.9223978993239845,0.037152913570590536
241,1245.0,102.0,2020.0,104.0,2226.0,0.04582210242587601,0.9074573225516622,0.04672057502246182
242,1247.0,17.0,406.0,15.0,438.0,0.03881278538812785,0.9269406392694064,0.03424657534246575
243,1248.0,255.0,4232.0,356.0,4843.0,0.052653314061532105,0.8738385298368779,0.07350815610158992
244,1249.0,305.0,11678.0,732.0,12715.0,0.023987416437278804,0.9184427841132521,0.05756979944946913
245,1250.0,52.0,1078.0,41.0,1171.0,0.0444064901793339,0.9205807002561913,0.035012809564474806
246,1251.0,394.0,7968.0,372.0,8734.0,0.04511106022441035,0.9122967712388367,0.04259216853675292
247,1254.0,239.0,3231.0,186.0,3656.0,0.06537199124726477,0.8837527352297593,0.05087527352297593
248,1255.0,39.0,1219.0,88.0,1346.0,0.02897473997028232,0.9056463595839525,0.06537890044576523
249,1256.0,39.0,1120.0,65.0,1224.0,0.031862745098039214,0.9150326797385621,0.05310457516339869
250,1258.0,170.0,1980.0,137.0,2287.0,0.07433318758198514,0.8657630083078268,0.059903804110188016
251,1260.0,41.0,595.0,40.0,676.0,0.060650887573964495,0.8801775147928994,0.05917159763313609
252,1261.0,65.0,1129.0,61.0,1255.0,0.05179282868525897,0.899601593625498,0.04860557768924303
253,1264.0,3.0,207.0,10.0,220.0,0.013636363636363636,0.9409090909090909,0.045454545454545456
254,1265.0,83.0,1718.0,93.0,1894.0,0.04382259767687434,0.9070749736008448,0.049102428722280884
255,1266.0,757.0,16959.0,729.0,18445.0,0.04104093250203307,0.9194361615613987,0.039522905936568174
256,1268.0,23.0,1208.0,19.0,1250.0,0.0184,0.9664,0.0152
257,1269.0,62.0,1611.0,48.0,1721.0,0.03602556653108658,0.936083672283556,0.02789076118535735
258,1270.0,36.0,1090.0,26.0,1152.0,0.03125,0.9461805555555556,0.022569444444444444
259,1271.0,52.0,1628.0,89.0,1769.0,0.029395138496325607,0.9202939513849633,0.05031091011871114
260,1272.0,2.0,40.0,2.0,44.0,0.045454545454545456,0.9090909090909091,0.045454545454545456
261,1274.0,39.0,1079.0,79.0,1197.0,0.03258145363408521,0.9014202172096909,0.06599832915622389
262,1275.0,48.0,1011.0,67.0,1126.0,0.04262877442273535,0.8978685612788633,0.05950266429840142
263,1276.0,52.0,1489.0,37.0,1578.0,0.032953105196451206,0.9435994930291508,0.023447401774397972
264,1277.0,26.0,559.0,27.0,612.0,0.042483660130718956,0.9133986928104575,0.04411764705882353
265,1278.0,80.0,1476.0,89.0,1645.0,0.0486322188449848,0.8972644376899696,0.05410334346504559
266,1280.0,160.0,2098.0,83.0,2341.0,0.06834686031610424,0.8961982058949167,0.03545493378897907
267,1283.0,340.0,7560.0,321.0,8221.0,0.041357499087702226,0.9195961561853789,0.03904634472691887
268,1284.0,318.0,5149.0,342.0,5809.0,0.05474264072990188,0.8863831984851093,0.05887416078498881
269,1285.0,278.0,3855.0,257.0,4390.0,0.0633257403189066,0.878132118451025,0.05854214123006834
270,1286.0,312.0,4492.0,278.0,5082.0,0.06139315230224321,0.8839039748130657,0.05470287288469106
271,1288.0,92.0,4129.0,205.0,4426.0,0.02078626299141437,0.9328965205603253,0.04631721644826028
272,1289.0,,23.0,3.0,,,,
273,1290.0,70.0,2298.0,116.0,2484.0,0.02818035426731079,0.9251207729468599,0.04669887278582931
274,1293.0,74.0,2013.0,105.0,2192.0,0.03375912408759124,0.9183394160583942,0.047901459854014596
275,1295.0,89.0,968.0,23.0,1080.0,0.0824074074074074,0.8962962962962963,0.021296296296296296
276,1297.0,185.0,3827.0,273.0,4285.0,0.043173862310385065,0.8931155192532089,0.06371061843640607
277,1298.0,67.0,1297.0,115.0,1479.0,0.045300878972278566,0.8769438810006761,0.0777552400270453
278,1299.0,19.0,358.0,11.0,388.0,0.04896907216494845,0.9226804123711341,0.028350515463917526
279,1301.0,272.0,4185.0,221.0,4678.0,0.05814450619923044,0.8946130825138948,0.04724241128687473
280,1302.0,190.0,4659.0,186.0,5035.0,0.03773584905660377,0.9253227408142999,0.036941410129096325
281,1304.0,107.0,4188.0,294.0,4589.0,0.023316626716060145,0.9126171279145784,0.06406624536936152
282,1306.0,152.0,3557.0,239.0,3948.0,0.03850050658561297,0.9009625126646403,0.060536980749746706
283,1309.0,3.0,419.0,19.0,441.0,0.006802721088435374,0.9501133786848073,0.04308390022675737
284,1310.0,4.0,71.0,5.0,80.0,0.05,0.8875,0.0625
285,1311.0,283.0,4767.0,252.0,5302.0,0.05337608449641645,0.8990946812523576,0.04752923425122595
286,1312.0,46.0,1713.0,70.0,1829.0,0.025150355385456534,0.9365773646801531,0.03827227993439038
287,1313.0,502.0,8719.0,578.0,9799.0,0.051229717318093684,0.8897846719052964,0.05898561077660986
288,1314.0,46.0,2236.0,154.0,2436.0,0.018883415435139574,0.9178981937602627,0.06321839080459771
289,1315.0,5.0,92.0,4.0,101.0,0.04950495049504951,0.9108910891089109,0.039603960396039604
290,1316.0,172.0,2465.0,166.0,2803.0,0.06136282554405994,0.8794149125936497,0.059222261862290404
291,1317.0,439.0,8509.0,339.0,9287.0,0.047270377947668786,0.9162269839560676,0.03650263809626359
292,1318.0,25.0,1251.0,78.0,1354.0,0.01846381093057607,0.9239290989660266,0.05760709010339734
293,1320.0,22.0,733.0,24.0,779.0,0.028241335044929396,0.9409499358151476,0.03080872913992298
294,1321.0,2.0,86.0,3.0,91.0,0.02197802197802198,0.945054945054945,0.03296703296703297
295,1322.0,92.0,3013.0,169.0,3274.0,0.028100183262064753,0.9202810018326206,0.0516188149053146
296,1325.0,20.0,279.0,23.0,322.0,0.062111801242236024,0.8664596273291926,0.07142857142857142
297,1327.0,324.0,3635.0,130.0,4089.0,0.07923697725605282,0.8889704084128148,0.031792614331132306
298,1328.0,51.0,507.0,24.0,582.0,0.08762886597938144,0.8711340206185567,0.041237113402061855
299,1330.0,57.0,1311.0,48.0,1416.0,0.04025423728813559,0.9258474576271186,0.03389830508474576
300,1331.0,58.0,3047.0,592.0,3697.0,0.015688395996754124,0.8241817690018934,0.16012983500135244
301,1332.0,47.0,609.0,32.0,688.0,0.06831395348837209,0.8851744186046512,0.046511627906976744
302,1333.0,161.0,4582.0,213.0,4956.0,0.03248587570621469,0.9245359160613398,0.04297820823244552
303,1334.0,111.0,2566.0,153.0,2830.0,0.0392226148409894,0.9067137809187279,0.054063604240282684
304,1335.0,123.0,2563.0,118.0,2804.0,0.04386590584878745,0.9140513552068473,0.04208273894436519
305,1337.0,160.0,1710.0,117.0,1987.0,0.0805234021137393,0.8605938600905888,0.058882737795671866
306,1338.0,14.0,785.0,39.0,838.0,0.016706443914081145,0.9367541766109785,0.046539379474940336
307,1340.0,113.0,2374.0,124.0,2611.0,0.043278437380314054,0.9092301800076599,0.04749138261202605
308,1342.0,24.0,529.0,52.0,605.0,0.03966942148760331,0.8743801652892562,0.0859504132231405
309,1343.0,26.0,937.0,77.0,1040.0,0.025,0.9009615384615385,0.07403846153846154
310,1344.0,16.0,361.0,13.0,390.0,0.041025641025641026,0.9256410256410257,0.03333333333333333
